"Dimension","Subscription started","Trial started","Trial converted","Trial ended","Subscription ended","First renewal"
"Presentation (30$/y+7d, 4$/m+7d) [BLUE]","1","101","62","42","0","24"
"[AUG 25] Argument test - Learn (30$/y+7d, 4$/m+7d) - Other plans","0","67","38","32","0","9"
"Monthly only - 4$, 7d trial [BLUE]","0","193","89","104","0","52"
"Summer 26 Countdown","5","1","0","0","0","0"
"DEC2024_UpgradeBlue_Expanded [All lang]","2","227","108","122","1","28"
"drawer","9","35","9","26","3","7"
"Presentation (30$/y+7d, 4$/m+7d) [YELLOW]","21","571","336","239","4","107"
"NY26 Countdown","92","2","0","2","0","1"
"page 1","0","9","3","6","0","1"
"Winter Promo Black B","141","0","0","0","0","0"
"MASTER - Onboarding - Yearly","24","1705","398","1238","6","12"
"Presentation (40$/y+7d, 4$/m+7d) [BLUE]","2","338","199","147","0","92"
"Old Upgrade Onboarding [Collapsed] [All lang]","15","1177","410","773","3","272"
"MASTER - SPECIAL OFFER (Summer green)","142","0","0","0","0","0"
"MASTER - Learn","2","188","100","77","1","22"
"Yearly only - 30$, 7d trial [YELLOW]","1","71","36","35","0","3"
"Winter 26 Countdown","282","0","1","0","1","0"
"Winter Promo Black A","101","0","0","0","1","0"
"Summer 2026 Promo","114","0","0","0","0","0"
"new paywall","0","153","34","120","0","0"
"Old Upgrade Settings [Collapsed] [All lang]","31","182","110","74","15","94"
"Spring 26 Countdown","24","0","0","0","0","0"
"MASTER - General","133","2691","1624","1007","20","246"
"Summer 2026 Promo #2","7","0","0","0","0","0"
"Black Friday Promo","400","4","4","0","5","15"
"[AUG 25] Argument test - old version (30$/y+7d, 4$/m+7d) - Other plans","1","66","44","23","1","8"
"MASTER - SPECIAL OFFER (Summer)","5","0","0","0","0","0"
"NY26 Promo Black New","245","9","6","3","3","9"
"Summer Promo Offer","160","0","0","0","0","0"
"MASTER - Onboarding - Other plans","6","468","280","180","2","55"
"Spring Promo Light B","132","0","0","0","0","0"
"Presentation (30$/y+7d, 5$/m+7d) [YELLOW]","23","511","307","210","5","63"
"Yearly only - 30$, 7d trial [BLUE]","0","128","45","83","0","1"
"[AUG 25] Argument test - Old version (monthly only4$, 7d trial)","2","240","111","130","0","82"
"Winter 2026 Promo","14","0","0","0","0","0"
"[AUG 25] Argument test - Base (30$/y+7d, 4$/m+7d) - Other plans","2","98","67","36","1","20"
"Yearly only - 40$, 7d trial [YELLOW]","0","42","15","28","0","0"
"MASTER - Productivity","13","562","264","274","1","54"
"NY26 Promo","78","1","0","1","0","0"
"Spring 2026 Promo","187","0","0","0","0","0"
"Yearly only - 40$, 7d trial [BLUE]","1","527","151","374","1","5"
"Summer Promo Light C","7","0","0","0","0","0"
"Spring Promo Light A","25","0","0","0","0","0"
"[AUG 25] Argument test - Base (monthly only4$, 7d trial)","3","283","138","148","2","92"
"Presentation (40$/y+7d, 5$/m+7d) [YELLOW]","2","82","40","43","2","13"
"Presentation (30$/y+7d, 5$/m+7d) [BLUE]","0","61","38","23","0","8"
"Monthly only - 5$, 7d trial [BLUE]","0","156","70","86","0","48"
"MASTER - SPECIAL OFFER","848","0","0","0","1","0"
"DEC2024_UpgradeYellow_Expanded [All lang]","8","111","77","36","2","18"
"[AUG 25] Argument test - Learn (monthly only 4$, 7d trial)","2","230","111","119","2","76"
"[AUG 25] Argument test - Productivity (monthly only4$, 7d trial)","1","244","114","131","0","84"
"Unknown","303","1295","705","546","50","427"
