"Dimension","Subscription started","Trial started","Trial converted","Trial ended","Subscription ended","First renewal"
"Illustration page","0","50","20","26","0","1"
"Re-Onboarding  NEW","13","291","135","133","1","17"
"Game Upgrade page","2","188","100","77","1","22"
"Home page upgrade button","45","838","525","320","17","239"
"Context results page banner NEW","65","404","203","186","2","32"
"Onboarding NEW","25","2716","827","1841","7","163"
"Context results page banner","10","173","112","65","2","36"
"Banner MT results page NEW","76","417","190","219","2","47"
"Camera translation","0","22","8","14","0","4"
"Rephrase upgrade page","7","162","88","64","0","14"
"Main drawer banner NEW","75","453","226","215","6","47"
"Banner MT results page","12","243","116","128","5","50"
"Main drawer banner","11","139","81","61","6","41"
"General Upgrade page","41","127","77","46","1","5"
"Re-Onboarding","6","166","79","88","1","46"
"Results page Upgrade ","6","103","67","36","0","22"
"Android batch promo","89","0","0","0","0","0"
"Multilist Upgrade page","2","246","144","84","1","18"
"Results page Upgrade NEW","85","178","133","45","2","21"
"Settings page banner NEW","24","63","39","23","0","4"
"Settings page banner","1","35","22","14","1","6"
"Onboarding","25","2911","1201","1729","8","591"
"Camera translation NEW","8","25","15","9","0","6"
"Home page upgrade button NEW","808","1553","1010","537","12","166"
"Unknown","2181","1326","726","558","58","450"
