"Dimension","Subscription started","Trial started","Trial converted","Trial ended","Subscription ended","First renewal"
"Monthly Android subscription February 2024","198","2338","1109","1254","80","874"
"Monthly Android subscription January 2019 3.99$ ","15","16","9","6","3","12"
"Annual Android subscription May 2022","12","0","0","0","0","0"
"Monthly Android subscription June 2019","22","0","0","0","6","15"
"Monthly Android subscription July 2023","1","9","3","4","0","2"
"Annual Android subscription October 2019","3128","0","0","0","6","0"
"Monthly Android subscription February 2025 -0d trial -price","10","0","0","0","3","7"
"Annual Android subscription February 2025 -7d trial","3","691","215","476","0","1"
"Monthly Android subscription February 2025 -7d trial","27","1842","914","928","9","610"
"Monthly Android subscription February 2025 -7d trial -price","67","1603","844","729","26","515"
"Annual Android subscription February 2022","1","0","0","0","0","0"
"Annual Android subscription March 2024","132","6330","3050","3121","0","11"
"Annual Android subscription July 2023","1","0","0","0","0","0"
