date,platform,country,placement_id,presentation_id,audience_id,ab_test_id,ab_test_variant_id,plan_id,clicks_on_purchase_button,ctr_on_purchase_button_by_screens_viewed,ctr_on_purchase_button_by_unique_viewers,conversions_to_offer_price,cvr_to_offer_price_by_screens_viewed,cvr_to_offer_price_by_unique_users,conversions_to_regular_price,cvr_to_regular_price_by_screens_viewed,cvr_to_regular_price_by_unique_users,total_conversions,cvr_total_by_screens_viewed,cvr_total_by_unique_users,for_reference_only_presentation_views_count,for_reference_only_unique_viewers_count
2025-07-28,GOOGLE_PLAY_STORE,AE,Onboarding_page,307,native_variable_en_fr_es_pt_ru_it,onboarding_native_variable,YearlyOnly30,android_annual_subscription_24,1,0.1,0.1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,10,8
2025-07-28,GOOGLE_PLAY_STORE,AE,Onboarding_page,3,,,,android_monthly_subscription_24,7,0.3182,0.3182,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,22,17
2025-07-28,GOOGLE_PLAY_STORE,AE,banner_mt_results_page,204,select_languages_en_fr_es_pt_ru_ar_it,all_other_placements,Yearly_30_Monthly_5,android_annual_subscription_24,1,0.5,0.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,2
2025-07-28,GOOGLE_PLAY_STORE,AE,homepage_button,201,select_languages_en_fr_es_pt_ru_ar_it,all_other_placements,Yearly_only_30,android_annual_subscription_24,1,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1
2025-07-28,GOOGLE_PLAY_STORE,AE,homepage_button,206,select_languages_en_fr_es_pt_ru_ar_it,all_other_placements,Yearly_only_30,android_annual_subscription_24,2,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,2
2025-07-28,GOOGLE_PLAY_STORE,AE,Reonboarding_page,308,native_variable_en_fr_es_pt_ru_it,onboarding_native_variable,YearlyOnly40,android_annual_subscription_25_7d,1,0.5,0.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,2
2025-07-28,GOOGLE_PLAY_STORE,AE,Reonboarding_page,305,native_variable_en_fr_es_pt_ru_it,onboarding_native_variable,MontlyOnly4,android_monthly_subscription_25_7d,1,0.3333,0.3333,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,3
2025-07-28,GOOGLE_PLAY_STORE,AE,Reonboarding_page,77,,,,android_annual_subscription_24,1,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1
2025-07-28,GOOGLE_PLAY_STORE,AE,Reonboarding_page,3,,,,android_monthly_subscription_24,1,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1
2025-07-28,GOOGLE_PLAY_STORE,AE,Reonboarding_page,302,native_variable_en_fr_es_pt_ru_it,onboarding_native_variable,MontlyOnly4,android_monthly_subscription_25_7d,1,0.5,0.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,2
