"Period","Monthly Recurring Revenue"
"2025-07-28","55112"
"2025-08-04","55170"
"2025-08-11","54995"
"2025-08-18","54828"
"2025-08-25","54768"
"2025-09-01","54731"
"2025-09-08","55105"
"2025-09-15","55487"
"2025-09-22","55919"
"2025-09-29","56286"
"2025-10-06","56267"
"2025-10-13","55911"
"2025-10-20","55498"
"2025-10-27","55007"
"2025-11-03","54845"
"2025-11-10","55066"
"2025-11-17","55318"
"2025-11-24","55329"
"2025-12-01","55821"
"2025-12-08","55536"
"2025-12-15","55203"
"2025-12-22","54791"
"2025-12-29","54299"
"2026-01-05","54228"
"2026-01-12","54619"
"2026-01-19","54275"
"2026-01-26","54146"
"2026-02-02","54359"
"2026-02-09","54928"
"2026-02-16","55560"
"2026-02-23","56906"
"2026-03-02","56691"
"2026-03-09","55726"
"2026-03-16","54726"
"2026-03-23","53854"
"2026-03-30","52764"
"2026-04-06","52929"
"2026-04-13","52863"
"2026-04-20","53499"
"2026-04-27","53429"
"2026-05-04","53154"
"2026-05-11","52797"
"2026-05-18","52174"
"2026-05-25","51585"
"2026-06-01","51363"
"2026-06-08","51691"
"2026-06-15","51503"
"2026-06-22","51390"
"2026-06-29","51146"
"2026-07-06","50660"
"2026-07-13","50140"
"2026-07-20","49868"
"2026-07-27","50004"
"2026-08-03","49720"
"2026-08-10","49035"
