"Period","Refund Rate (%)"
"2025-08-01","0.48"
"2025-08-08","1.83"
"2025-08-15","0.54"
"2025-08-22","1.06"
"2025-08-29","1.05"
"2025-09-05","0.7"
"2025-09-12","0.92"
"2025-09-19","0.57"
"2025-09-26","0.67"
"2025-10-03","0.23"
"2025-10-10","0.76"
"2025-10-17","1.28"
"2025-10-24","0"
"2025-10-31","0.53"
"2025-11-07","1.03"
"2025-11-14","0.28"
"2025-11-21","0.51"
"2025-11-28","0.92"
"2025-12-05","0"
"2025-12-12","0"
"2025-12-19","0.38"
"2025-12-26","0.71"
"2026-01-02","0.68"
"2026-01-09","0.45"
"2026-01-16","0.58"
"2026-01-23","0.71"
"2026-01-30","0.39"
"2026-02-06","2.11"
"2026-02-13","2.53"
"2026-02-20","0.63"
"2026-02-27","0.51"
"2026-03-06","1.13"
"2026-03-13","1.18"
"2026-03-20","0"
"2026-03-27","0.53"
"2026-04-03","1.91"
"2026-04-10","0.67"
"2026-04-17","1.82"
"2026-04-24","0.77"
"2026-05-01","1.19"
"2026-05-08","2.07"
"2026-05-15","1.95"
"2026-05-22","1.45"
"2026-05-29","1.15"
"2026-06-05","0.67"
"2026-06-12","3.73"
"2026-06-19","2.52"
"2026-06-26","0.85"
"2026-07-03","0.88"
"2026-07-10","0.75"
"2026-07-17","2.19"
"2026-07-24","1.65"
"2026-07-31","2.56"
"2026-08-07","0"
