"Period","Annual Android subscription February 2022","Annual Android subscription February 2025 -7d trial","Annual Android subscription January 2016","Annual Android subscription July 2023","Annual Android subscription June 2017","Annual Android subscription March 2015","Annual Android subscription March 2024","Annual Android subscription May 2022","Annual Android subscription November 2017","Annual Android subscription October 2019","Annual Android subscription September 2017","Monthly Android subscription February 2024","Monthly Android subscription February 2025 -0d trial -price","Monthly Android subscription February 2025 -7d trial","Monthly Android subscription February 2025 -7d trial -price","Monthly Android subscription January 2019 2.99$","Monthly Android subscription January 2019 3.99$ ","Monthly Android subscription July 2023","Monthly Android subscription June 2019","Quarterly Android subscription December 2017"
"2025-07-28","","326.94","5.84","","","6.41","1056.93","275.63","140.44","126.72","","1868.85","","212.86","152.56","36.41","1144.8","463.46","7.91","39.12"
"2025-08-04","","853.82","51.74","","54.19","3.46","2498.14","769.81","143.62","431.47","","3932.74","","394.4","500.64","76.44","2531.07","1181.85","21.74","65.5"
"2025-08-11","","703.95","42.97","225.18","151.21","2.99","2225.12","558.25","202.76","610.18","","4025.94","","490.73","461.19","85.22","2393.42","1352.71","13.6","56.57"
"2025-08-18","","840.79","22.48","413.33","62.78","","2395.36","277.14","179.79","681.18","","3959.72","","470.14","406.2","102.33","2239.04","1358.66","23.31","88.6"
"2025-08-25","","273.15","27.15","404.84","59.11","10.01","2307.92","257.22","235.53","492.3","","3746.9","","461.44","417.12","89.97","2299.18","1103.26","19.76","77.26"
"2025-09-01","","708.2","11.68","162.46","79.92","","2481.44","468.38","258.12","512.93","","3848.05","","626.79","480.49","66.45","2490.95","1038.37","21.17","82.32"
"2025-09-08","35.19","595.96","77.75","385.53","30.89","3.51","2431.34","372.26","283.4","784.85","46.86","3838.58","","713.6","412.85","101.88","2409.65","1344.68","15.33","134.35"
"2025-09-15","27.99","309.78","35.51","349.63","0.58","16.39","2171.48","271.96","200.01","404.54","112.17","4047.11","","748.93","370.57","69.1","2261.95","1256.08","20.53","111.5"
"2025-09-22","","409.71","52.27","350.98","8.03","10.56","2322.78","301.46","328.66","646.18","103.87","4788.63","","781.13","322.39","145.13","3088.71","1570.76","25.11","54.42"
"2025-09-29","","942.63","66.89","421.83","","10.76","2010.97","494.61","253.53","430.09","92.03","3349.04","","942.02","433.31","52.95","1801.12","723.52","16.95","91.85"
"2025-10-06","","692.77","65.26","391.9","","10.45","2000.72","369.58","286.55","656.47","137.92","3618.31","","943.56","334.99","80.84","2342.17","1246.69","8.62","93.47"
"2025-10-13","31.99","575.49","68.49","406.83","","13.12","2379.95","274.63","117.38","641.94","44.49","3834.7","","843.18","351.53","81.97","2174.58","1159.86","22.4","74.46"
"2025-10-20","","685.72","81.37","363","8.12","12.95","2351.59","153.73","141.44","419.63","116.54","3772.82","8.5","858.62","282.47","91.81","2164","1222.16","16.11","91.69"
"2025-10-27","","359.58","52.38","376.18","","12.45","2038.66","423.99","116.67","548.43","90.91","3535.96","20.91","879.68","333.9","98.88","2169.39","958.07","19.79","81.47"
"2025-11-03","","838.2","138.64","483.98","16.52","19.91","2409.98","424.21","155.49","651.91","122.72","3652.55","11.99","751.96","377.32","72.85","2282.8","1007.14","21.02","47.94"
"2025-11-10","","440.6","60.16","473.68","8.68","25.18","2622.43","464.12","90.61","540.66","91.57","3788.64","","816.13","448.48","81.15","2135.45","1229.96","11.23","73.78"
"2025-11-17","","411.36","71.37","478.88","","13.8","2903.31","499.14","76.26","508.63","100.58","3425.24","","770.57","379.41","78.14","2093.08","1156.06","18.81","71.33"
"2025-11-24","","-94.67","26.86","550.61","","20.48","3759.29","631.05","85.27","6487.34","97.62","3823.7","12.94","765.85","544.58","102.82","2371.67","1098.37","60.95","77.12"
"2025-12-01","","87.4","62.36","398.44","","","3957.74","407.19","84.02","2225.02","54.35","3534.87","15.12","630.94","509.22","63.12","2244.7","951.89","18.94","81.89"
"2025-12-08","","0.43","67.77","183.71","","15.74","3437.95","300.19","233.14","579.11","","3592.91","","647.18","572","97.69","2176.44","1171.06","13.29","125.73"
"2025-12-15","","","45.77","445.43","","28","2014.81","378.67","27.35","544.91","","3353.46","","729.56","476.89","65.24","1998.23","1128.9","22.86","111.52"
"2025-12-22","","49.41","43.92","233.78","","7.02","3968.07","281.38","113.74","608.82","17.74","3986.53","4.62","634.49","428.11","135.75","2843.48","1351.22","51","54.54"
"2025-12-29","27.99","","100.04","500.87","8.2","9.6","3017.11","545.11","53.92","804.12","","2547.45","12.8","562.44","521.88","36.91","1339.48","580.05","12.44","76.01"
"2026-01-05","","","67.68","449.72","6.49","26.42","4325.68","629.41","258.42","8050.01","5.58","3273.86","","599.2","509.68","66.05","2154.85","1066.12","10.94","92.3"
"2026-01-12","","","49.34","466.81","","10.69","3555.82","549.73","170.68","670.03","","3341.37","","550.9","534.21","85.61","1986.41","1086.78","15.94","66.75"
"2026-01-19","","","64.95","395.97","","10.47","4991.72","356.52","154.08","980.02","11.63","3039.04","4.63","612.53","426.13","109.77","1900.92","1020.09","25.08","83.41"
"2026-01-26","51.52","","60.28","319.32","","","4883.88","358.33","187","1104.05","6.85","3062.18","13.04","466.86","557.54","71.34","2041.77","937.22","41.99","76.08"
"2026-02-02","","-45.1","96.08","520.85","","6.06","4000.18","637.34","116.46","872.61","","3072.64","","528.93","532.33","65.7","2066.39","875.66","19.34","66.83"
"2026-02-09","","","108.25","261.9","6.37","3.55","4197.29","336.34","180.11","1225.85","","3237.13","","534.71","585.63","97.19","2010.21","1096.01","15.84","60.03"
"2026-02-16","35.36","53.97","61","190.6","","3.52","3376.96","339.58","214.41","10729.1","","2855.96","","522.45","556.66","65.67","1890.1","1016.56","19.73","64.54"
"2026-02-23","167.48","187.28","272.3","286.3","8.23","22.08","2626.27","535.3","137.42","830.34","","4075.03","12.99","639.47","624.62","125.86","2780.83","1320.45","49.02","78.48"
"2026-03-02","222.48","46.47","109","502.59","","6.66","3014.23","953.46","164.67","490.09","11.75","2850.09","","487.65","632.52","65.12","1974.64","821.48","19.08","82.31"
"2026-03-09","","157.1","126.28","223.5","","12.59","3349.36","442.21","159.27","492.54","","3005.65","","480.03","663.94","95.06","1956.18","1033.31","13.2","124.75"
"2026-03-16","185.46","508.81","133.14","","","6.73","3564.38","477.83","203.17","629.15","","2716.95","","483.27","595.55","64.54","1804.44","979.53","21.54","85.87"
"2026-03-23","289.07","328.83","111.48","34.67","","9.53","3822.36","469.73","82.97","435.38","","3207.3","4.5","531.02","640.46","106.53","2340.02","1122.31","48.41","53.71"
"2026-03-30","69.16","266.53","110.35","29.99","","16.02","3338.2","564.49","199.81","1899.74","","2043.87","3.49","317.45","504.5","52.32","1376.9","573.49","14.63","59.67"
"2026-04-06","177.55","332.14","119.65","35.04","","3.3","2676.67","378.59","148.3","570.27","","2750.05","","393.41","634","79.27","1965.44","984.82","8.73","85.94"
"2026-04-13","28.05","321.78","74.5","","","9.03","3004.69","718.1","170.28","8686.17","","2722.24","","488.68","637.32","64.84","1808.55","881.78","23.31","67.14"
"2026-04-20","204.55","272.03","78.86","29.99","0.53","2.99","2406.3","349.04","156.89","1868.98","","2566.15","4.91","461.27","531.04","89.38","1821.01","946.7","18.63","75.29"
"2026-04-27","132.33","419.72","81.88","","","4.8","2852.88","600.42","60.42","525.12","","2718.69","8.08","464.85","733.09","76.28","2088.41","910.67","44.49","82.43"
"2026-05-04","192.62","220.82","78.13","35.06","","","3050.33","573.75","170.44","549.52","12.19","2662.57","","327.99","645.48","62.4","1892.24","904.67","17.79","50.65"
"2026-05-11","282.1","240.34","58.76","","","","3040.42","403.96","129.35","309.08","","2552.46","","429.99","631.97","72.09","1798.47","838.92","11.28","57.68"
"2026-05-18","205.43","320.76","73.82","","","","2885.95","725.93","130.44","304.15","","2406.25","4.91","431.24","470.39","85.12","1685.75","872.11","21.19","71.92"
"2026-05-25","163.57","548.11","74.23","","13.37","1.78","3008.71","532.81","234.07","424.67","","2156.22","4.55","360.98","570.67","63.14","1707.24","800.27","44.52","62.23"
"2026-06-01","388.26","178.24","38.3","","","3.47","2839.2","445.52","231.92","7880","","2439.81","3.49","343.59","641.26","63.14","1862.54","811.05","17.58","65.47"
