"Period","google"
"2025-07-28","5864.88"
"2025-08-04","13510.63"
"2025-08-11","13601.99"
"2025-08-18","13520.85"
"2025-08-25","12282.12"
"2025-09-01","13337.72"
"2025-09-08","14018.46"
"2025-09-15","12785.81"
"2025-09-22","15310.78"
"2025-09-29","12134.1"
"2025-10-06","13280.27"
"2025-10-13","13096.99"
"2025-10-20","12842.27"
"2025-10-27","12117.3"
"2025-11-03","13487.13"
"2025-11-10","13402.51"
"2025-11-17","13055.97"
"2025-11-24","20421.85"
"2025-12-01","15327.21"
"2025-12-08","13214.34"
"2025-12-15","11371.6"
"2025-12-22","14813.62"
"2025-12-29","10756.42"
"2026-01-05","21592.41"
"2026-01-12","13141.07"
"2026-01-19","14186.96"
"2026-01-26","14239.25"
"2026-02-02","13432.3"
"2026-02-09","13956.41"
"2026-02-16","21996.17"
"2026-02-23","14779.75"
"2026-03-02","12454.29"
"2026-03-09","12334.97"
"2026-03-16","12460.36"
"2026-03-23","13638.28"
"2026-03-30","11440.61"
"2026-04-06","11343.17"
"2026-04-13","19706.46"
"2026-04-20","11884.54"
"2026-04-27","11804.56"
"2026-05-04","11446.65"
"2026-05-11","10856.87"
"2026-05-18","10695.36"
"2026-05-25","10771.14"
"2026-06-01","18252.84"
"2026-06-08","11362.43"
"2026-06-15","9596.15"
"2026-06-22","11601.74"
"2026-06-29","8764.28"
"2026-07-06","9977.73"
"2026-07-13","10001.94"
"2026-07-20","18981.83"
"2026-07-27","10814.45"
"2026-08-03","10089.39"
"2026-08-10","961.83"
