"Period","All subs: Monthly Android subscription February 2025 -7d trial -price","All subs: Annual Android subscription July 2023","All subs: Annual Android subscription November 2017","All subs: Annual Android subscription January 2016","All subs: Annual Android subscription May 2022","All subs: Monthly Android subscription July 2023","All subs: Annual Android subscription October 2019","All subs: Other","All subs: Monthly Android subscription January 2019 3.99$ ","All subs: Annual Android subscription March 2024","All subs: Monthly Android subscription February 2024"
"2025-07-28","371","625","632","647","1136","1571","1749","1813","2840","3566","4528"
"2025-08-04","390","625","632","645","1126","1555","1747","1863","2807","3603","4477"
"2025-08-11","386","620","630","644","1115","1534","1742","1884","2788","3626","4420"
"2025-08-18","394","611","627","644","1105","1513","1729","1894","2766","3633","4358"
"2025-08-25","393","596","622","644","1102","1504","1718","1958","2734","3660","4322"
"2025-09-01","359","584","617","644","1094","1486","1711","2098","2721","3672","4281"
"2025-09-08","337","574","614","644","1089","1477","1701","2150","2688","3656","4237"
"2025-09-15","323","569","610","642","1079","1461","1690","2245","2679","3679","4215"
"2025-09-22","306","563","609","642","1075","1440","1685","2406","2650","3711","4192"
"2025-09-29","295","559","602","641","1066","1432","1681","2459","2628","3720","4195"
"2025-10-06","278","553","600","636","1064","1420","1674","2463","2598","3746","4165"
"2025-10-13","276","547","597","635","1059","1403","1670","2502","2580","3765","4101"
"2025-10-20","264","541","596","633","1053","1386","1665","2533","2559","3772","4046"
"2025-10-27","278","528","595","631","1046","1374","1659","2492","2553","3796","4058"
"2025-11-03","312","518","593","630","1042","1362","1647","2439","2530","3850","4007"
"2025-11-10","344","507","592","628","1032","1346","1639","2400","2514","3927","4009"
"2025-11-17","422","498","589","628","1023","1332","1633","2309","2495","4045","3914"
"2025-11-24","448","486","585","626","1013","1314","1929","2258","2478","4165","3836"
"2025-12-01","423","483","585","625","1004","1309","2014","2195","2447","4252","3791"
"2025-12-08","415","469","586","624","997","1290","2003","2143","2429","4299","3741"
"2025-12-15","404","463","586","623","987","1281","1991","2128","2403","4401","3688"
"2025-12-22","412","459","587","619","980","1263","1979","2099","2386","4426","3624"
"2025-12-29","415","458","586","617","971","1259","1971","2072","2369","4532","3566"
"2026-01-05","413","444","586","615","967","1251","2379","2050","2350","4582","3525"
"2026-01-12","424","440","586","613","956","1239","2376","2027","2341","4658","3482"
"2026-01-19","425","430","580","614","952","1220","2365","2002","2322","4725","3423"
"2026-01-26","440","424","578","609","941","1207","2353","1988","2305","4726","3377"
"2026-02-02","438","415","575","606","938","1197","2340","1957","2274","4686","3316"
"2026-02-09","458","408","574","605","930","1174","2326","1947","2252","4642","3256"
"2026-02-16","439","404","572","604","921","1164","2854","1930","2236","4606","3197"
"2026-02-23","448","397","570","603","917","1152","2855","1897","2218","4653","3129"
"2026-03-02","458","392","570","600","906","1138","2848","1874","2198","4678","3078"
"2026-03-09","474","387","567","601","899","1124","2837","1850","2186","4730","3040"
"2026-03-16","490","383","570","600","896","1120","2832","1831","2172","4743","3006"
"2026-03-23","500","381","566","598","888","1114","2829","1813","2163","4767","2946"
"2026-03-30","504","381","565","594","884","1110","2900","1800","2145","4771","2911"
"2026-04-06","515","382","564","592","875","1107","2895","1773","2122","4784","2875"
"2026-04-13","506","382","563","589","872","1090","3335","1752","2101","4750","2821"
"2026-04-20","504","382","563","586","865","1072","3406","1735","2090","4767","2789"
"2026-04-27","505","382","562","583","864","1059","3405","1708","2082","4790","2743"
"2026-05-04","505","383","558","579","862","1056","3399","1688","2066","4818","2700"
"2026-05-11","498","383","557","576","857","1037","3389","1672","2053","4825","2664"
"2026-05-18","495","381","552","573","846","1023","3383","1650","2040","4853","2630"
"2026-05-25","493","381","549","572","838","1015","3381","1631","2025","4831","2591"
"2026-06-01","476","381","547","568","832","1011","3766","1615","2014","4815","2561"
"2026-06-08","478","381","544","565","828","1003","3833","1596","2005","4797","2512"
"2026-06-15","490","381","544","565","824","998","3832","1572","1988","4840","2478"
"2026-06-22","487","380","541","565","817","984","3828","1553","1963","4835","2443"
"2026-06-29","500","380","540","564","809","976","3823","1531","1944","4862","2414"
"2026-07-06","501","380","540","564","802","960","3818","1515","1934","4864","2392"
"2026-07-13","497","380","538","563","791","952","3814","1503","1928","4877","2366"
"2026-07-20","503","380","534","562","789","947","4284","1469","1909","4852","2341"
"2026-07-27","497","380","533","561","782","945","4381","1445","1895","4832","2311"
"2026-08-03","482","380","531","559","780","932","4440","1422","1892","4813","2282"
"2026-08-10","475","380","531","559","780","928","4461","1424","1887","4807","2272"
