"Period","IN_GRACE_PERIOD","AUTO_RENEWING_CANCELED","AUTO_RENEWING"
"2025-07-28","296","1484","17701"
"2025-08-04","282","1511","17680"
"2025-08-11","334","1489","17569"
"2025-08-18","311","1519","17447"
"2025-08-25","281","1533","17443"
"2025-09-01","309","1563","17400"
"2025-09-08","262","1570","17340"
"2025-09-15","269","1553","17375"
"2025-09-22","322","1569","17395"
"2025-09-29","334","1601","17347"
"2025-10-06","297","1591","17314"
"2025-10-13","300","1599","17240"
"2025-10-20","279","1610","17163"
"2025-10-27","302","1622","17090"
"2025-11-03","256","1599","17077"
"2025-11-10","275","1630","17035"
"2025-11-17","270","1575","17045"
"2025-11-24","299","1595","17246"
"2025-12-01","287","1574","17269"
"2025-12-08","278","1560","17160"
"2025-12-15","265","1581","17111"
"2025-12-22","297","1569","16970"
"2025-12-29","267","1634","16918"
"2026-01-05","275","1683","17207"
"2026-01-12","297","1711","17137"
"2026-01-19","290","1728","17043"
"2026-01-26","295","1694","16961"
"2026-02-02","255","1637","16851"
"2026-02-09","202","1598","16773"
"2026-02-16","187","1615","17126"
"2026-02-23","215","1607","17018"
"2026-03-02","182","1611","16948"
"2026-03-09","181","1619","16896"
"2026-03-16","169","1638","16836"
"2026-03-23","201","1646","16718"
"2026-03-30","155","1691","16719"
"2026-04-06","184","1675","16625"
"2026-04-13","160","1650","16951"
"2026-04-20","162","1665","16932"
"2026-04-27","202","1688","16793"
"2026-05-04","167","1710","16737"
"2026-05-11","173","1705","16633"
"2026-05-18","172","1669","16585"
"2026-05-25","155","1656","16496"
"2026-06-01","150","1664","16772"
"2026-06-08","149","1687","16706"
"2026-06-15","154","1715","16643"
"2026-06-22","183","1699","16514"
"2026-06-29","159","1729","16455"
"2026-07-06","156","1701","16413"
"2026-07-13","162","1707","16340"
"2026-07-20","165","1732","16673"
"2026-07-27","143","1765","16654"
"2026-08-03","137","1770","16606"
"2026-08-10","127","1772","16606"
