"Event","2025-08-01","2025-09-01","2025-10-01","2025-11-01","2025-12-01","2026-01-01","2026-02-01","2026-03-01","2026-04-01","2026-05-01","2026-06-01","2026-07-01","2026-08-01"
"Activate","15161","15328","15006","14532","13133","13558","11579","10704","10616","9678","9475","9583","2793"
"Deactivate","3451","3444","3403","3224","2826","2719","2191","1909","1699","1610","1418","1487","433"
"EnteredBillingRetry","13","12","14","18","5","7","7","11","9","6","7","0","1"
"GracePeriodStarted","1607","1581","1642","1437","1275","1352","1106","920","1034","952","875","929","291"
"GracePeriodTerminated","944","837","963","776","756","738","574","455","420","455","377","408","118"
"InstallmentPaid","0","0","0","0","0","0","0","0","0","0","0","0","0"
"InstallmentRefunded","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IntroOfferConverted","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IntroOfferNotConverted","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IntroOfferStarted","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PromoCodeConverted","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PromoCodeNotConverted","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PromoCodeStarted","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PromotionalOfferConverted","793","916","829","704","573","557","387","401","271","326","222","269","43"
"PromotionalOfferNotConverted","884","920","913","877","752","612","476","493","290","300","245","264","83"
"PromotionalOfferStarted","1675","1908","1680","1534","1202","1292","669","713","503","616","435","458","109"
"RenewalDisabled","1200","1273","1225","1092","990","1091","800","774","704","675","605","644","188"
"RenewalEnabled","28","31","18","25","19","21","32","23","34","23","17","22","5"
"SubscriptionCancelledDuringGracePeriod","98","96","113","99","84","87","64","55","45","42","38","33","14"
"SubscriptionCancelledDuringPause","19","12","16","16","19","12","16","15","10","8","5","5","0"
"SubscriptionCrossgraded","14","26","14","4","6","3","3","1","1","0","1","0","0"
"SubscriptionDeferred","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SubscriptionDowngraded","0","0","0","0","0","1","0","0","0","0","0","0","0"
"SubscriptionPaused","73","51","43","36","55","41","43","32","22","15","12","16","5"
"SubscriptionReactivated","0","3","1","2","2","1","0","1","3","2","0","0","0"
"SubscriptionReceived","425","515","391","435","294","466","210","112","167","80","117","148","26"
"SubscriptionRecoveredFromBillingRetry","258","237","278","221","227","183","170","203","162","157","130","158","39"
"SubscriptionRecoveredFromGracePeriod","566","603","602","545","474","504","526","465","551","476","456","521","148"
"SubscriptionRefundedRevoked","18","13","19","19","13","8","21","17","29","14","25","23","6"
"SubscriptionRenewed","9251","9169","8999","8885","8495","8272","7684","7566","6935","6732","6373","6119","1886"
"SubscriptionStarted","1719","1969","1743","1919","1333","1769","1250","744","1134","644","933","1064","214"
"SubscriptionTerminated","1850","1887","1833","1826","1595","1363","1251","1214","997","995","840","856","264"
"SubscriptionTransferred","425","515","391","435","295","466","210","112","167","80","117","148","26"
"SubscriptionUnpaused","49","37","34","25","26","31","18","20","16","18","18","8","1"
"SubscriptionUpgraded","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SubscriptionWillNotPause","17","6","12","8","6","6","10","3","5","4","3","5","2"
"SubscriptionWillPause","73","54","51","54","53","53","41","33","18","19","18","20","6"
"TransactionProcessed","10182","10116","9990","10081","9363","9477","8995","8300","8314","7419","7490","7422","2183"
"TrialConverted","795","920","830","705","575","557","387","402","271","326","222","270","43"
"TrialNotConverted","0","0","2","1","3","1","0","0","0","0","2","1","0"
"TrialStarted","2","7","7","1","6","1","2","1","2","0","3","3","0"
