ID,Nuser ID,Source Text,Target Text,Source Context,Target Context,Source Lang,Target Lang,Last Edit,Creation Date,Removed,Target Text Edited,Document Title,Document,Source Segment,Source,Comment,Domain,History ID,Wordcount,Favtype,Source Pos,Target Pos,Register,Language Level
130533986,"11,744,472",stumble,trip or momentarily lose one's balance,He stumbled on the uneven pavement..,,en,en,"September 15, 2026, 4:51 PM","September 15, 2026, 4:51 PM",false,,,,,1,,,,1,def,v.,,,
130533970,"11,744,472",come across,find something by accident,I came across an old photo album.,,en,en,"September 15, 2026, 4:51 PM","September 15, 2026, 4:51 PM",false,,,,,1,,,,2,def,v.,,,
130475134,"11,744,472",absolve,declare someone free from blame or guilt,The court absolved him of all charges.,,en,en,"September 15, 2026, 9:52 AM","September 15, 2026, 9:52 AM",false,,,,,1,,,,1,def,v.,,,
130468263,"11,744,472",bane,"thing that causes harm, ruin, or great distress",Laziness is the bane of his success.,,en,en,"September 15, 2026, 8:47 AM","September 15, 2026, 8:47 AM",false,,,,,1,,,,1,def,n.,,,
130407476,"11,744,472",outplay,perform better than in a game or competition,She managed to outplay her opponent in the final match..,,en,en,"September 14, 2026, 7:38 PM","September 14, 2026, 7:38 PM",false,,,,,1,,,,1,def,v.,,,
130285708,"11,744,472",ransom,release of a captive by payment,The ransom led to the release of the prisoners.,,en,en,"September 13, 2026, 9:59 PM","September 13, 2026, 9:59 PM",false,,,,,1,,,,1,def,n.,,,
130265688,"11,744,472",root,cheer for a team or athlete,Fans rooted for their team enthusiastically..,,en,en,"September 13, 2026, 8:07 PM","September 13, 2026, 8:07 PM",false,,,,,1,,,,1,def,v.,,,
130201844,"11,744,472",halt,cause to stop,She halted the discussion abruptly..,,en,en,"September 13, 2026, 11:40 AM","September 13, 2026, 11:40 AM",false,,,,,4,,,,1,def,v.,,,
130190006,"11,744,472",qualification,condition that modifies or limits something,There is a qualification to the rule that must be noted.,,en,en,"September 13, 2026, 9:57 AM","September 13, 2026, 9:57 AM",false,,,,,4,,,,1,def,n.,,,
130189985,"11,744,472",favour,support or approval given to someone or something,The proposal has found favour among the majority of the council..,,en,en,"September 13, 2026, 9:57 AM","September 13, 2026, 9:57 AM",false,,,,,4,,,,1,def,n.,,,
130141345,"11,744,472",grudge,lasting resentment from a past insult or injury,She couldn't let go of the grudge after the argument..,,en,en,"September 12, 2026, 11:41 PM","September 12, 2026, 11:41 PM",false,,,,,1,,,,1,def,n.,,,
130126472,"11,744,472",restrained,held back or kept under control,His restrained anger was evident.,,en,en,"September 12, 2026, 9:02 PM","September 12, 2026, 9:02 PM",false,,,,,1,,,,1,def,adj.,,,
130052207,"11,744,472",turnkey,ready to use without further assembly or test,The new software is a turnkey solution for businesses.,,en,en,"September 12, 2026, 10:52 AM","September 12, 2026, 10:52 AM",false,,,,,4,,,,1,def,adj.,,,
130040133,"11,744,472",dissent,disagreement with political or religious doctrines,The protest was a clear act of dissent.,,en,en,"September 12, 2026, 8:41 AM","September 12, 2026, 8:41 AM",false,,,,,1,,,,1,def,n.,,,
130038191,"11,744,472",appeal,the quality of being attractive or interesting,The new movie has a broad appeal.,,en,en,"September 12, 2026, 8:21 AM","September 12, 2026, 8:21 AM",false,,,,,1,,,,1,def,n.,,,
130038181,"11,744,472",appealing,attractive or pleasing to the senses,The painting is very appealing to the eye.,,en,en,"September 12, 2026, 8:21 AM","September 12, 2026, 8:21 AM",false,,,,,1,,,,1,def,adj.,,,
130003323,"11,744,472",amiss,not right or appropriate,Something seems amiss with the engine.,,en,en,"September 11, 2026, 10:06 PM","September 11, 2026, 10:06 PM",false,,,,,1,,,,1,def,adj.,,,
129919998,"11,744,472",infer,deduce or conclude information from evidence and reasoning,"From the clues, she could infer that something was wrong..",,en,en,"September 11, 2026, 10:59 AM","September 11, 2026, 10:59 AM",false,,,,,4,,,,1,def,v.,,,
129919767,"11,744,472",probe,act of investigation or inquiry,The police launched a probe into the incident.,,en,en,"September 11, 2026, 10:56 AM","September 11, 2026, 10:56 AM",false,,,,,4,,,,1,def,n.,,,
129751803,"11,744,472",gimmick,"trick or device intended to attract attention, publicity, or business",The free giveaway was a gimmick to boost sales.,,en,en,"September 10, 2026, 9:43 AM","September 10, 2026, 9:43 AM",false,,,,,4,,,,1,def,n.,,,
129751571,"11,744,472",covenant,formal agreement between two or more parties,The two companies signed a covenant to share resources..,,en,en,"September 10, 2026, 9:42 AM","September 10, 2026, 9:42 AM",false,,,,,4,,,,1,def,n.,,,
129751561,"11,744,472",presage,predict or foretell something,The dark clouds presage a storm.,,en,en,"September 10, 2026, 9:42 AM","September 10, 2026, 9:42 AM",false,,,,,4,,,,1,def,v.,,,
129751556,"11,744,472",aggravate,make a situation or condition worse,The rain aggravated the flooding situation.,,en,en,"September 10, 2026, 9:42 AM","September 10, 2026, 9:42 AM",false,,,,,4,,,,1,def,v.,,,
129751548,"11,744,472",affix,attach or stick something to another thing,Please affix the stamp to the envelope.,,en,en,"September 10, 2026, 9:42 AM","September 10, 2026, 9:42 AM",false,,,,,4,,,,1,def,v.,,,
127487970,"11,744,472",homogeneous,having the same composition throughout,The solution is homogeneous in nature.,,en,en,"August 24, 2026, 8:55 PM","August 24, 2026, 8:55 PM",false,,,,,4,,,,1,def,adj.,,,
127409792,"11,744,472",credible,able to be believed or trusted,His story seemed credible to the jury.,,en,en,"August 24, 2026, 10:05 AM","August 24, 2026, 10:05 AM",false,,,,,1,,,,1,def,adj.,,,
127408301,"11,744,472",disregard,ignore or pay no attention to something,She chose to disregard his advice.,,en,en,"August 24, 2026, 9:44 AM","August 24, 2026, 9:44 AM",false,,,,,1,,,,1,def,v.,,,
127305767,"11,744,472",kink,cause something to form a sharp twist or curve,Don't kink the hose near the faucet.,,en,en,"August 23, 2026, 2:40 PM","August 23, 2026, 2:40 PM",false,,,,,4,,,,1,def,v.,,,
127287593,"11,744,472",conform,adapt to match norms or standards,She tried to conform to the school's dress code.,,en,en,"August 23, 2026, 11:57 AM","August 23, 2026, 11:57 AM",false,,,,,4,,,,1,def,v.,,,
127231667,"11,744,472",received,generally accepted as true or correct,The received wisdom is that exercise is good for health.,,en,en,"August 22, 2026, 9:10 PM","August 22, 2026, 9:08 PM",true,,,,,4,,,,1,def,adj.,,,
127179765,"11,744,472",rack,framework for holding objects,She placed the dishes on the kitchen rack.,,en,en,"August 22, 2026, 2:26 PM","August 22, 2026, 2:26 PM",false,,,,,1,,,,1,def,n.,,,
127161255,"11,744,472",condone,accept and allow behavior that is considered morally wrong or offensive,He cannot condone the use of violence in any circumstance.,,en,en,"August 22, 2026, 10:56 AM","August 22, 2026, 10:56 AM",false,,,,,1,,,,1,def,v.,,,
126973432,"11,744,472",designate,indicate or specify something clearly,The map designates the location of the treasure.,,en,en,"August 20, 2026, 9:49 PM","August 20, 2026, 9:49 PM",false,,,,,4,,,,1,def,v.,,,
126971217,"11,744,472",slope,area of ground that inclines upward or downward,The hikers climbed the steep slope.,,en,en,"August 20, 2026, 9:32 PM","August 20, 2026, 9:32 PM",false,,,,,1,,,,1,def,n.,,,
126751977,"11,744,472",intangible,incapable of being perceived by touch,The love between them was intangible.,,en,en,"August 19, 2026, 9:50 AM","August 19, 2026, 9:50 AM",false,,,,,1,,,,1,def,adj.,,,
